AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
A1349521,GRAHAM,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2024-06-20,15 WEEKS,2024-07-28,MED R,STRAY,OTC,,2024-08-31,ADOPTION,,HEALTHY,N MARBURG WAY/LAS PLUMAS AVE,SAN JOSE,2024-08-31
A1349522,,CAT,BLACK,WHITE,DOMESTIC SH,UNKNOWN,,NO AGE,2024-07-28,DEAD,DISPO REQ,OTC,,,,,,MONTEREY RD,SAN JOSE,2024-07-28
A1349524,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2023-07-29,1 YEAR 2 MONTHS,2024-07-28,MED R,STRAY,OTC,,2024-08-03,SPAY,,FERAL,RAMSTREE DR,SAN JOSE,2024-08-03
A1349525,,CAT,TABBY-BRN,,DOMESTIC SH,FEMALE,2024-06-29,5 WEEKS,2024-07-28,MED R,STRAY,OTC,,2024-08-01,EUTH,U MED SEV,MED SEV,RAMSTREE DR,SAN JOSE,2024-08-01
A1349527,BEEFERONI,DOG,BLACK,TAN,CHIHUAHUA SH,NEUTERED,2023-03-28,1 YEAR 6 MONTHS,2024-07-28,MED R,STRAY,FIELD,,2024-08-27,ADOPTION,WALK IN,HEALTHY,200 BLOCK N 2ND ST,SAN JOSE,2024-08-27
A1349530,CHATO,DOG,WHITE,,CHIHUAHUA LH,MALE,2024-04-28,5 MONTHS,2024-07-28,HEALTHY,CONFISCATE,ASO,,2024-07-28,RTO,NOTICE,HEALTHY,,SAN JOSE,2024-07-31
A1349531,,OTHER,BROWN,,SQUIRREL,UNKNOWN,,NO AGE,2024-07-28,NURSING,WILDLIFE,FIELD,,2024-07-28,TRANSFER,,NURSING,CEDAR LN / AVENUE B,SAN JOSE,2024-07-28
A1349532,,OTHER,BROWN,,SQUIRREL,UNKNOWN,,NO AGE,2024-07-28,NURSING,WILDLIFE,FIELD,,2024-07-28,TRANSFER,,NURSING,CEDAR LN / AVENUE B,SAN JOSE,2024-07-28
A1349533,,CAT,TABBY-BRN,,DOMESTIC SH,UNKNOWN,,NO AGE,2024-07-28,MED SEV,STRAY,FIELD,,2024-07-28,DIED,ENROUTE,MED SEV,GLACIER DR & S VICTORIA PARK DR,MILPITAS,2024-07-28
A1349534,ICE,DOG,BROWN,BLACK,GERM SHEPHERD,MALE,,NO AGE,2024-07-28,HEALTHY,STRAY,FIELD,,2024-07-30,RTO,,HEALTHY,PARK PLEASANT CIR / ARAMIS DR,SAN JOSE,2024-07-30
A1349537,,CAT,BLACK,,DOMESTIC SH,NEUTERED,2024-06-29,14 WEEKS,2024-07-29,MED R,STRAY,OTC,,2024-08-03,FOSTER,,MED R,RAMSTREE DR/SHADOWTREE DR,SAN JOSE,2024-09-12
A1349537,,CAT,BLACK,,DOMESTIC SH,NEUTERED,2024-06-29,14 WEEKS,2024-09-13,MED R,FOSTER,,,2024-09-17,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-09-17
A1349538,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2024-06-29,14 WEEKS,2024-09-13,MED R,FOSTER,,,2024-09-17,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-09-17
A1349538,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2024-06-29,14 WEEKS,2024-07-29,MED R,STRAY,OTC,,2024-08-03,FOSTER,,MED R,RAMSTREE DR/SHADOWTREE DR,SAN JOSE,2024-08-03
A1349539,,CAT,TABBY-BRN,,DOMESTIC SH,UNKNOWN,,NO AGE,2024-07-29,DEAD,DISPO REQ,OTC,,2024-07-29,DISPOSAL,,DEAD,LIGHTFARE CT,SAN JOSE,2024-07-29
A1349540,ALFRED,DOG,WHITE,,WEST HIGHLAND,NEUTERED,2022-08-04,2 YEARS,2024-07-29,HEALTHY,STRAY,OTC,,2024-08-05,FOSTER,,HEALTHY,TAYLOR ST/COLEMAN AVE,SAN JOSE,2024-08-07
A1349540,ALFRED,DOG,WHITE,,WEST HIGHLAND,NEUTERED,2022-08-04,2 YEARS,2024-08-08,HEALTHY,FOSTER,,,2024-08-08,FOSTER,,,,SAN JOSE,2024-08-08
A1349540,ALFRED,DOG,WHITE,,WEST HIGHLAND,NEUTERED,2022-08-04,2 YEARS,2024-09-05,HEALTHY,FOSTER,,NO TIME,2024-09-05,FOSTER,,HEALTHY,,SAN JOSE,2024-09-05
A1349540,ALFRED,DOG,WHITE,,WEST HIGHLAND,NEUTERED,2022-08-04,2 YEARS,2024-08-18,HEALTHY,FOSTER,,NO TIME,2024-08-24,FOSTER,,HEALTHY,MONTEREY RD/UMBARGER,SAN JOSE,2024-08-25
A1349540,ALFRED,DOG,WHITE,,WEST HIGHLAND,NEUTERED,2022-08-04,2 YEARS,2024-08-27,HEALTHY,FOSTER,,NO TIME,2024-08-31,FOSTER,,HEALTHY,,SAN JOSE,2024-08-31
A1349541,TNR,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2014-07-29,10 YEARS,2024-07-29,MED R,STRAY,OTC,,2024-08-09,RTF,,FERAL,FORSUM RD,SAN JOSE,2024-08-09
A1349542,,DOG,GRAY,,PIT BULL,MALE,,NO AGE,2024-07-29,DEAD,DISPO REQ,OTC,,2024-07-29,DISPOSAL,,DEAD,GUMDROP DR,SAN JOSE,2024-07-29
A1349543,MOCHI,DOG,BROWN,GRAY,DOBERMAN PINSCH,SPAYED,2018-08-02,6 YEARS,2024-07-29,HEALTHY,STRAY,OTC,IP ADOPT,,,,,KING/STORY,SAN JOSE,2024-09-26
A1349544,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2024-05-29,4 MONTHS,2024-07-29,MED R,STRAY,OTC,,2024-08-25,ADOPTION,WALK IN,HEALTHY,BENGAL DR/GAZANIA,SAN JOSE,2024-08-25
A1349548,,BIRD,BROWN,,FINCH,UNKNOWN,,NO AGE,2024-07-29,MED R,STRAY,FIELD,,2024-07-29,RTF,,HEALTHY,300 BLOCK SANTANA ROW,SAN JOSE,2024-07-29
A1349550,BENI,DOG,BROWN,,POODLE TOY,NEUTERED,2024-01-29,8 MONTHS,2024-09-17,HEALTHY,FOSTER,,,2024-09-17,ADOPTION,WALK IN,HEALTHY,MONTEREY RD,SAN JOSE,2024-09-17
A1349552,GINNY,DOG,BROWN,BLACK,FRENCH BULLDOG,SPAYED,2021-07-29,3 YEARS,2024-07-29,HEALTHY,STRAY,OTC,,2024-08-06,FOSTER,,HEALTHY,WILLIAM ST/1ST ST,SAN JOSE,2024-08-06
A1349552,GINNY,DOG,BROWN,BLACK,FRENCH BULLDOG,SPAYED,2021-07-29,3 YEARS,2024-09-10,HEALTHY,FOSTER,,,2024-09-10,ADOPTION,,HEALTHY,,SAN JOSE,2024-09-10
A1349558,PEBBLES,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2024-05-20,4 MONTHS,2024-07-29,MED R,STRAY,OTC,,2024-08-31,ADOPTION,WALK IN,,SCHARFF AVE/E SAN ANTONIO ST,SAN JOSE,2024-08-31
A1349559,VINNY,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2024-05-20,4 MONTHS,2024-07-29,HEALTHY,STRAY,OTC,,,,,,SCHARFF AVE/E SAN ANTONIO ST,SAN JOSE,2024-09-17
A1349560,PAULIE,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2024-05-20,4 MONTHS,2024-07-29,HEALTHY,STRAY,OTC,,,,,,SCHARFF AVE/E SAN ANTONIO ST,SAN JOSE,2024-09-17
A1349573,,CAT,BLACK,WHITE,DOMESTIC SH,MALE,,NO AGE,2024-07-29,MED SEV,STRAY,MEDVET,,2024-07-29,DISPOSAL,,DEAD,2000 BLOCK LAVONNE DR,SAN JOSE,2024-07-30
A1349574,,BIRD,BLACK,GRAY,BLACKBIRD,MALE,,NO AGE,2024-07-29,MED SEV,STRAY,MEDVET,,2024-07-29,DISPOSAL,,DEAD,1500 BLOCK SHAW DR,SAN JOSE,2024-07-29
A1349583,DANIEL,DOG,WHITE,,SCHNAUZER MIN,MALE,2021-07-29,3 YEARS,2024-07-29,HEALTHY,STRAY,OTC,,2024-08-03,FOSTER,,HEALTHY,OLIVESTONE WAY,SAN JOSE,2024-08-03
A1349583,DANIEL,DOG,WHITE,,SCHNAUZER MIN,MALE,2021-07-29,3 YEARS,2024-08-11,HEALTHY,FOSTER,,,2024-08-31,FOSTER,,HEALTHY,,SAN JOSE,2024-08-31
A1349586,,CAT,TABBY-ORG,WHITE,DOMESTIC SH,UNKNOWN,,NO AGE,2024-07-29,DEAD,DISPO REQ,OTC,,2024-07-29,DISPOSAL,,DEAD,GLENRIDGE DR/NORMINGTON WAY,SAN JOSE,2024-07-29
A1349587,COSMO,DOG,BLACK,WHITE,POODLE MIN,SPAYED,2024-01-03,8 MONTHS,2024-07-29,HEALTHY,STRAY,FIELD,,2024-08-03,ADOPTION,,HEALTHY,CAHALAN AVE / CALERO AVE,SAN JOSE,2024-08-03
A1349589,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,,NO AGE,2024-07-29,DEAD,DISPO REQ,OTC,,2024-07-29,DISPOSAL,,DEAD,HARRISBURG PL,SAN JOSE,2024-07-29
A1349590,,CAT,TABBY-ORG,,DOMESTIC LH,FEMALE,2021-07-29,3 YEARS,2024-07-29,HEALTHY,CONFISCATE,ASO,,2024-08-02,RTO,,HEALTHY,,SAN JOSE,2024-08-02
A1349592,,CAT,BLACK,,DOMESTIC SH,MALE,2024-07-08,12 WEEKS,2024-07-29,NURSING,STRAY,OTC,,2024-08-01,TRANSFER,HSSV,HEALTHY,SALMON DR/BALTIC WAY,SAN JOSE,2024-08-01
A1349593,,CAT,TABBY-BRN,,DOMESTIC SH,FEMALE,2024-07-08,12 WEEKS,2024-07-29,NURSING,STRAY,OTC,,2024-08-01,TRANSFER,HSSV,HEALTHY,SALMON DR/BALTIC WAY,SAN JOSE,2024-08-01
A1349594,,CAT,TABBY-BRN,,DOMESTIC SH,MALE,2024-07-08,12 WEEKS,2024-07-29,NURSING,STRAY,OTC,,2024-08-01,TRANSFER,HSSV,HEALTHY,SALMON DR/BALTIC WAY,SAN JOSE,2024-08-01
A1349595,,CAT,TABBY-ORG,,DOMESTIC SH,MALE,2024-07-08,12 WEEKS,2024-07-29,NURSING,STRAY,OTC,,2024-08-01,TRANSFER,HSSV,HEALTHY,SALMON DR/BALTIC WAY,SAN JOSE,2024-08-01
A1349596,,CAT,TABBY-ORG,,DOMESTIC SH,FEMALE,2024-07-08,12 WEEKS,2024-07-29,NURSING,STRAY,OTC,,2024-08-01,TRANSFER,HSSV,HEALTHY,SALMON DR/BALTIC WAY,SAN JOSE,2024-08-01
A1349597,,CAT,WHITE,,DOMESTIC SH,FEMALE,2024-07-08,12 WEEKS,2024-07-29,NURSING,STRAY,OTC,,2024-08-01,TRANSFER,HSSV,HEALTHY,SALMON DR/BALTIC WAY,SAN JOSE,2024-08-01
A1349598,,CAT,TABBY-BRN,,DOMESTIC SH,FEMALE,2023-07-29,1 YEAR 2 MONTHS,2024-07-29,NURSING,STRAY,OTC,,2024-08-01,TRANSFER,HSSV,HEALTHY,SALMON DR/BALTIC WAY,SAN JOSE,2024-08-01
A1349602,,DOG,BROWN,,NORFOLK TERRIER,FEMALE,,NO AGE,2024-07-29,HEALTHY,STRAY,OTC,,2024-09-22,FOUND ANIM,,HEALTHY,SENTER RD/BURKE ST,SAN JOSE,2024-09-22
A1349603,BEEF TACO,DOG,SABLE,,GERM SHEPHERD,MALE,2022-08-03,2 YEARS,2024-07-29,HEALTHY,STRAY,OTC,,2024-09-06,FOSTER,,HEALTHY,SIRRA RD/PIEDMONT RD,SAN JOSE,2024-09-06
A1349603,BEEF TACO,DOG,SABLE,,GERM SHEPHERD,MALE,2022-08-03,2 YEARS,2024-09-11,HEALTHY,FOSTER,,,,,,,,SAN JOSE,2024-09-12
A1349604,TNR,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-29,PREGNANT,STRAY,OTC,,2024-08-02,SPAY,,FERAL,N 16TH ST/WASHINGTON ST,SAN JOSE,2024-08-02
A1349605,CHEX,DOG,TAN,,SIBERIAN HUSKY,MALE,2022-08-03,2 YEARS,2024-07-29,HEALTHY,STRAY,OTC,,,,,,SNELL/SKYWAY,SAN JOSE,2024-08-12
A1349606,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2024-07-03,13 WEEKS,2024-07-29,NURSING,STRAY,OTC,,2024-08-06,FOSTER,,HEALTHY,LANAI AVE/WAVERLY AVE,SAN JOSE,2024-09-12
A1349606,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2024-07-03,13 WEEKS,2024-09-13,HEALTHY,FOSTER,,IP ADOPT,2024-09-13,ADOPTION,WALK IN,,,SAN JOSE,2024-09-13
A1349607,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2024-04-29,5 MONTHS,2024-07-29,MED R,STRAY,OTC,,2024-08-08,RTF,,MED R,E SAN ANTONIO ST,SAN JOSE,2024-08-08
A1349608,,CAT,BLACK,,DOMESTIC SH,FEMALE,,NO AGE,2024-07-29,HEALTHY,CONFISCATE,ASO,,2024-07-30,RTO,,HEALTHY,,SAN JOSE,2024-07-30
A1349609,,CAT,WHITE,GRAY,DOMESTIC MH,UNKNOWN,,NO AGE,2024-07-29,HEALTHY,CONFISCATE,ASO,,2024-07-30,RTO,,HEALTHY,,SAN JOSE,2024-07-30
A1349610,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,MALE,,NO AGE,2024-07-29,MED SEV,STRAY,FIELD,,2024-07-29,EUTH,U MED SEV,MED SEV,KESTRAL WAY & N CAPITOL AVE,SAN JOSE,2024-07-29
A1349611,,CAT,WHITE,ORANGE,DOMESTIC SH,UNKNOWN,,NO AGE,2024-07-29,DEAD,DISPO REQ,OTC,,2024-07-29,DISPOSAL,,DEAD,BORCHERS DR/VIVIAN LN,SAN JOSE,2024-07-29
A1349616,CHEERIO,DOG,WHITE,BROWN,CHIHUAHUA SH,NEUTERED,2016-09-11,8 YEARS,2024-07-29,MED SEV,STRAY,MEDVET,,2024-09-18,FOSTER,,MED SEV,STONE AVE & CURTNER AVE,SAN JOSE,2024-09-26
A1349617,,OTHER,GRAY,BLACK,OPOSSUM,UNKNOWN,,NO AGE,2024-07-29,DEAD,DISPO REQ,FIELD,,2024-07-29,DISPOSAL,,DEAD,BLUE RIDGE DR / EAGLE RIDGE WAY,MILPITAS,2024-07-29
A1349627,COWBOY,OTHER,WHITE,,RABBIT SH,NEUTERED,,NO AGE,2024-07-30,HEALTHY,STRAY,OTC,,,,,,MONTEREY RD X UMBARGER RD,SAN JOSE,2024-08-17
A1349628,,CAT,GRAY,,DOMESTIC SH,UNKNOWN,2024-06-30,4 WEEKS,2024-07-30,MED SEV,STRAY,MEDVET,,2024-07-30,DISPOSAL,,MED SEV,2100 BLOCK COSHAND AVE,SAN JOSE,2024-07-30
A1349629,,CAT,GRAY,WHITE,DOMESTIC SH,MALE,2024-06-30,4 WEEKS,2024-07-30,MED SEV,STRAY,MEDVET,,2024-07-30,EUTH,,MED SEV,2900 BLOCK CAPWOOD CT,SAN JOSE,2024-07-30
A1349630,,CAT,BLACK,,DOMESTIC SH,MALE,2023-07-30,1 YEAR,2024-07-30,MED SEV,STRAY,MEDVET,,2024-07-30,EUTH,U MED SEV,MED SEV,0 BLOCK FANYON ST,MILPITAS,2024-07-30
A1349631,,CAT,BLACK,WHITE,DOMESTIC SH,FEMALE,,NO AGE,2024-07-30,DEAD,STRAY,MEDVET,,2024-07-30,DISPOSAL,,DEAD,10000 BLOCK CLAYTON RD,SAN JOSE,2024-07-30
A1349632,,BIRD,GRAY,,BLACKBIRD,MALE,,NO AGE,2024-07-30,MED SEV,STRAY,MEDVET,,2024-07-30,DIED,,MED SEV,6600 BLOCK MT WELLINGTON DR,SAN JOSE,2024-08-01
A1349633,,CAT,SABLE,,DOMESTIC MH,MALE,,NO AGE,2024-07-30,MED SEV,STRAY,MEDVET,,2024-07-30,EUTH,U MED SEV,MED SEV,500 BLOCK DEMAREST LN,SAN JOSE,2024-07-30
A1349634,,BIRD,BLACK,,CROW,MALE,,NO AGE,2024-07-30,MED SEV,WILDLIFE,MEDVET,,2024-07-30,DIED,,MED SEV,UNKNOWN,SAN JOSE,2024-08-01
A1349635,,CAT,GRAY,WHITE,DOMESTIC SH,UNKNOWN,,NO AGE,2024-07-30,MED R,STRAY,MEDVET,,2024-07-30,EUTH,U MED SEV,MED SEV,5800 BLOCK ROHAN WY,SAN JOSE,2024-07-30
A1349636,,CAT,WHITE,BLACK,DOMESTIC MH,MALE,,NO AGE,2024-07-30,MED SEV,STRAY,MEDVET,,2024-07-30,EUTH,U MED SEV,MED SEV,400 BLOCK N 5TH ST,SAN JOSE,2024-07-30
A1349637,,CAT,BLACK,,DOMESTIC SH,MALE,2024-07-01,6 WEEKS,2024-07-30,MED SEV,STRAY,OTC,,2024-08-12,DIED,IN FOSTER,MED SEV,LEWIS RD X DURANT AVE,SAN JOSE,2024-08-14
A1349639,,CAT,BLACK,,DOMESTIC SH,FEMALE,2024-05-18,11 WEEKS,2024-07-30,MED SEV,STRAY,OTC,,2024-07-30,EUTH,U MED EMRG,MED SEV,LILY AVE X ROSE BLOSSOM DR,CUPERTINO,2024-07-30
A1349640,,BIRD,GRAY,,GOOSE,UNKNOWN,,NO AGE,2024-07-30,MED R,WILDLIFE,FIELD,,2024-07-30,TRANSFER,WILDLIFE,MED SEV,2800 BLOCK AETNA WY,SAN JOSE,2024-07-30
A1349641,,CAT,BLACK,WHITE,DOMESTIC MH,UNKNOWN,,NO AGE,2024-07-30,DEAD,DISPO REQ,OTC,,2024-07-30,DISPOSAL,,DEAD,LELONG ST X 87 ON RAMP,SAN JOSE,2024-07-30
A1349655,HONEY,CAT,TABBY-ORG,,DOMESTIC SH,MALE,2024-07-11,12 WEEKS,2024-07-30,HEALTHY,STRAY,OTC,,2024-08-02,FOSTER,,HEALTHY,2200 BLOCK ALUM ROCK AVE X N JACKSON AVE,SAN JOSE,2024-09-06
A1349656,HOPSCOTCH,CAT,TORBI-DIL,,DOMESTIC SH,SPAYED,2024-04-30,16 WEEKS,2024-07-30,MED R,STRAY,OTC,,2024-08-17,DIED,IN KENNEL,MED SEV,METCALF RD X MONTEREY RD,SAN JOSE,2024-08-19
A1349657,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2022-07-30,2 YEARS,2024-07-30,MED SEV,STRAY,MEDVET,,2024-08-09,RTF,,MED SEV,1600 BLOCK ALDRICH WAY,SAN JOSE,2024-08-11
A1349657,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2022-07-30,2 YEARS,2024-07-03,FERAL,S/N CLINIC,,,2024-07-03,RTF,,FERAL,,SAN JOSE,2024-07-03
A1349658,MINNA,DOG,BROWN,WHITE,GERM SHEPHERD,FEMALE,2024-05-24,4 MONTHS,2024-07-30,MED R,STRAY,MEDVET,,2024-08-20,TRANSFER,HSSV,MED R,500 BLOCK S WILLARD AVE,SAN JOSE,2024-08-20
A1349659,LOTUS,DOG,BROWN,WHITE,GERM SHEPHERD,SPAYED,2024-05-24,4 MONTHS,2024-09-17,HEALTHY,FOSTER,,,2024-09-17,ADOPTION,WALK IN,HEALTHY,MONTEREY RD,SAN JOSE,2024-09-17
A1349660,RANDY,DOG,BROWN,WHITE,GERM SHEPHERD,NEUTERED,2024-06-11,16 WEEKS,2024-07-30,MED R,STRAY,MEDVET,,2024-08-20,ADOPTION,WALK IN,HEALTHY,500 BLOCK S WILLARD AVE,SAN JOSE,2024-08-20
A1349662,NYJAH,DOG,BROWN,,GERM SHEPHERD,MALE,2024-05-24,4 MONTHS,2024-07-30,MED R,STRAY,MEDVET,,2024-08-20,TRANSFER,HSSV,MED R,500 BLOCK S WILLARD AVE,SAN JOSE,2024-08-20
A1349663,JOURNEY,DOG,TRICOLOR,WHITE,GERM SHEPHERD,SPAYED,2024-05-24,4 MONTHS,2024-07-30,MED R,STRAY,MEDVET,,2024-08-09,FOSTER,,HEALTHY,500 BLOCK S WILLARD AVE,SAN JOSE,2024-08-09
A1349663,JOURNEY,DOG,TRICOLOR,WHITE,GERM SHEPHERD,SPAYED,2024-05-24,4 MONTHS,2024-08-23,HEALTHY,FOSTER,,,2024-08-23,ADOPTION,,HEALTHY,,OUT OF COUNTY,2024-08-23
A1349664,TORRI,DOG,TRICOLOR,WHITE,GERM SHEPHERD,SPAYED,2024-05-24,4 MONTHS,2024-07-30,MED R,STRAY,MEDVET,,2024-08-13,ADOPTION,,HEALTHY,500 BLOCK S WILLARD AVE,SAN JOSE,2024-08-13
A1349667,,CAT,WHITE,BLACK,DOMESTIC SH,FEMALE,,NO AGE,2024-07-30,MED SEV,STRAY,OTC,,2024-07-30,EUTH,U MED SEV,MED SEV,LUCRETIA AVE X SUMMERSIDE DR,SAN JOSE,2024-07-30
A1349670,MILES,CAT,TABBY-GRAY,,DOMESTIC SH,NEUTERED,2024-04-30,5 MONTHS,2024-07-30,MED R,STRAY,OTC,,2024-09-01,ADOPTION,WALK IN,HEALTHY,TOBAGO AVE X TURTLEROCK DR,SAN JOSE,2024-09-01
A1349672,SPENCER,DOG,WHITE,BROWN,FRENCH BULLDOG,NEUTERED,2022-08-03,2 YEARS,2024-07-30,MED R,STRAY,OTC,,2024-08-15,ADOPTION,,HEALTHY,E SAN ANTONIO ST X S 28TH ST,SAN JOSE,2024-08-15
A1349675,,CAT,ORANGE,WHITE,DOMESTIC SH,FEMALE,,NO AGE,2024-07-30,MED SEV,STRAY,OTC,,2024-07-30,EUTH,U MED SEV,MED SEV,SUTTER ST X STATE ST,SAN JOSE,2024-07-30
A1349676,,CAT,CALICO-DIL,,DOMESTIC SH,FEMALE,,NO AGE,2024-07-30,NURSING,STRAY,OTC,,2024-08-03,FOSTER,,NURSING,PALM ST X W HUMBOLT ST,SAN JOSE,2024-08-03
A1349678,,DOG,BLACK,,MALTESE,MALE,,NO AGE,2024-07-30,DEAD,DISPO REQ,OTC,,2024-07-30,DISPOSAL,,DEAD,,SAN JOSE,2024-07-30
A1349686,,BIRD,BLACK,,CROW,UNKNOWN,,NO AGE,2024-07-30,DEAD,DISPO REQ,FIELD,,2024-07-30,DISPOSAL,,DEAD,N ABBOTT AVE,MILPITAS,2024-07-30
A1349687,,BIRD,GRAY,BROWN,SPARROW,UNKNOWN,,NO AGE,2024-07-30,MED R,WILDLIFE,MEDVET,,2024-07-30,EUTH,,DEAD,PHILEO CT,SAN JOSE,2024-07-30
A1349688,,BIRD,BLACK,,CROW,UNKNOWN,,NO AGE,2024-07-30,DEAD,DISPO REQ,FIELD,,2024-07-30,DISPOSAL,,DEAD,N MCCARTHY BLVD,MILPITAS,2024-07-30
A1349689,LOLA,DOG,BROWN,WHITE,AUST SHEPHERD,SPAYED,2022-07-30,2 YEARS,2024-07-30,HEALTHY,CONFISCATE,POLICE,,2024-08-01,RTO,WALK IN,HEALTHY,,SAN JOSE,2024-08-01
A1349689,LOLA,DOG,BROWN,WHITE,AUST SHEPHERD,SPAYED,2022-07-30,2 YEARS,2024-08-12,MED R,STRAY,MEDVET,,2024-08-12,RTO,,MED R,MONTEREY X SOUTHSIDE,SAN JOSE,2024-08-12
A1349690,TNR,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,SPAYED,2021-07-30,3 YEARS,2024-07-30,NURSING,STRAY,OTC,,2024-08-28,RTF,,,N 14TH ST,SAN JOSE,2024-08-28
A1349691,SHELLY,DOG,BLACK,WHITE,BORDER COLLIE,FEMALE,2023-08-11,1 YEAR 1 MONTH,2024-07-30,HEALTHY,STRAY,OTC,,,,,,MONTEREY RD X PALM AVE,SAN JOSE,2024-09-24
A1349692,,CAT,TABBY-BRN,,DOMESTIC SH,MALE,2024-08-03,9 WEEKS,2024-07-30,NURSING,STRAY,OTC,,,,,,N 14TH ST,SAN JOSE,2024-09-13
A1349693,,CAT,TABBY-BRN,,DOMESTIC SH,MALE,2024-08-03,9 WEEKS,2024-07-30,NURSING,STRAY,OTC,,,,,,N 14TH ST,SAN JOSE,2024-09-13
A1349694,,CAT,BLACK,WHITE,DOMESTIC SH,MALE,2024-08-03,7 WEEKS,2024-07-30,NURSING,STRAY,OTC,,2024-08-31,EUTH,U PANLEUK,MED SEV,N 14TH ST,SAN JOSE,2024-09-16
A1349695,,CAT,BLACK,WHITE,DOMESTIC SH,MALE,2024-08-03,9 WEEKS,2024-07-30,NURSING,STRAY,OTC,,,,,,N 14TH ST,SAN JOSE,2024-09-13
A1349696,,DOG,WHITE,,CHIHUAHUA SH,SPAYED,2010-08-01,14 YEARS,2024-07-30,MED SEV,STRAY,OTC,,2024-08-05,EUTH,U MED SEV,MED SEV,MONTAGUE EXPY X OAKLAND RD,SAN JOSE,2024-08-05
A1349698,,CAT,PT-LYNX,,DOMESTIC SH,MALE,2024-05-30,9 WEEKS,2024-07-30,MED R,STRAY,FIELD,,2024-08-01,EUTH,U MED SEV,MED SEV,1900 BLOCK SUPREME,SAN JOSE,2024-08-01
A1349699,,CAT,CALICO-DIL,,DOMESTIC SH,SPAYED,2024-06-04,3 MONTHS,2024-07-30,HEALTHY,STRAY,OTC,,2024-09-04,ADOPTION,WALK IN,HEALTHY,MONTEREY RD X UMBARGER RD,SAN JOSE,2024-09-04
A1349701,LULU BELL,DOG,GRAY,,DACHSHUND,SPAYED,2023-08-03,1 YEAR 1 MONTH,2024-07-30,HEALTHY,STRAY,OTC,,2024-08-06,ADOPTION,WALK IN,,BLOSSUM HILL RD X SANTA TERESA BLVD,MILPITAS,2024-08-06
A1349703,PABLO,DOG,GRAY,WHITE,ENG BULLDOG,MALE,2020-08-03,4 YEARS,2024-07-30,BEH U,CONFISCATE,BITE,,,,U AGG BIU,BEH U,,SAN JOSE,2024-09-17
A1349704,,CAT,ORANGE,WHITE,DOMESTIC SH,UNKNOWN,2024-05-10,12 WEEKS,2024-07-30,MED R,STRAY,FIELD,,2024-07-31,DIED,IN KENNEL,MED SEV,100 BLOCK N 17TH,SAN JOSE,2024-07-31
A1349705,CHOCO,DOG,BROWN,,CHIHUAHUA SH,MALE,,NO AGE,2024-07-30,MED R,STRAY,OTC,,2024-07-31,RTO,,,BLOSSOM HILL RD,SAN JOSE,2024-07-31
A1349705,CHOCO,DOG,BROWN,,CHIHUAHUA SH,MALE,,NO AGE,2024-07-30,MED R,STRAY,OTC,,2024-07-31,RTO,,,BLOSSOM HILL RD,SAN JOSE,2024-07-31
A1349706,TEDDY,DOG,BROWN,WHITE,BORDER TERRIER,NEUTERED,2023-12-04,9 MONTHS,2024-07-30,HEALTHY,STRAY,OTC,,2024-09-17,ADOPTION,WALK IN,HEALTHY,HELLYER AVE/DOVE RD,SAN JOSE,2024-09-17
A1349708,TNR,CAT,GRAY,,DOMESTIC SH,NEUTERED,,NO AGE,2024-07-30,MED R,STRAY,OTC,,2024-08-12,RTF,,FERAL,PETER PAN AVE,SAN JOSE,2024-08-12
A1349713,,BIRD,BLACK,,CROW,UNKNOWN,,NO AGE,2024-07-30,DEAD,DISPO REQ,FIELD,,2024-07-30,DISPOSAL,,DEAD,N HILLVIEW DR / JACKLIN RD,MILPITAS,2024-07-30
A1349715,AMOR,DOG,WHITE,,ENG BULLDOG,FEMALE,2022-08-03,2 YEARS,2024-07-30,HEALTHY,STRAY,OTC,,2024-08-10,FOSTER,,,MONTEREY RD,SAN JOSE,2024-08-10
